web-scraper-order,web-scraper-start-url,Nombre,Rating,
1615250284-224,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,2.5,
1615250284-220,https://www.rappi.com.mx/restaurantes/category/pizza,Los Dogos,4.5,
1615250284-233,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema,null,milenio3
1615250704-265,https://www.rappi.com.mx/restaurantes/category/pizza,Estacion 19,null,
1615250704-266,https://www.rappi.com.mx/restaurantes/category/pizza,La Neta Alas y Chelas,null,
1615250704-253,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Rotonda,null,
1615250704-259,https://www.rappi.com.mx/restaurantes/category/pizza,Beppe Pizzas,null,
1615250704-263,https://www.rappi.com.mx/restaurantes/category/pizza,Don Pizza Corregidora,null,
1615250704-264,https://www.rappi.com.mx/restaurantes/category/pizza,Patricio´s,null,
1615250704-255,https://www.rappi.com.mx/restaurantes/category/pizza,Benedetti's,null,
1615250704-247,https://www.rappi.com.mx/restaurantes/category/pizza,Il Diavolo,4.6,
1615250704-254,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,4.2,
1615250704-261,https://www.rappi.com.mx/restaurantes/category/pizza,Las Mulas,null,
1615250704-257,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Riko,null,
1615250704-250,https://www.rappi.com.mx/restaurantes/category/pizza,Zapata Pizza,4.8,
1615250704-262,https://www.rappi.com.mx/restaurantes/category/pizza,Vintage Pizzería,4.7,
1615250704-256,https://www.rappi.com.mx/restaurantes/category/pizza,Los Dogos,4.7,
1615250704-258,https://www.rappi.com.mx/restaurantes/category/pizza,Santa Fortuna,null,
1615250704-252,https://www.rappi.com.mx/restaurantes/category/pizza,Il Pizzaiolo Qro,4.4,
1615250704-249,https://www.rappi.com.mx/restaurantes/category/pizza,Trapani Pizza,4.8,
1615250704-260,https://www.rappi.com.mx/restaurantes/category/pizza,California Pizza Kitchen,null,
1615250704-251,https://www.rappi.com.mx/restaurantes/category/pizza,Abuelita´S Pizza,4.9,
1615250704-248,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Hut,4.5,
