web-scraper-order,web-scraper-start-url,name-link,name-link-href,name,rating,evals,price-food,name-food,colonia
1616632573-5713,https://www.ubereats.com/mx/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwUmVmdWdpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpnVzJ1OW5kYzA0VVJoc09pVjFaTlctSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42NTM2MDg0JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zNDY5ODI2JTdE,Cassava Roots (Paseo Queretaro),https://www.ubereats.com/mx/queretaro/food-delivery/cassava-roots-paseo-queretaro/NBxsTW6SSNKx8NE748-Udg,Cassava Roots (Paseo Queretaro),4.5,-33,$44.00,A3 Royal milk tea,refugio
1616632588-5844,https://www.ubereats.com/mx/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwUmVmdWdpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpnVzJ1OW5kYzA0VVJoc09pVjFaTlctSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42NTM2MDg0JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zNDY5ODI2JTdE,Subway (Fray Junípero),https://www.ubereats.com/mx/queretaro/food-delivery/subway-fray-junipero/Kjy5GBW2SwSm-s4LGAobzg,Subway (Fray Junípero),4.7,-155,$149.00,Combo Jamón de Cerdo 30 cm,refugio
1616632541-5526,https://www.ubereats.com/mx/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwUmVmdWdpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpnVzJ1OW5kYzA0VVJoc09pVjFaTlctSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42NTM2MDg0JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zNDY5ODI2JTdE,Nuut Grill,https://www.ubereats.com/mx/queretaro/food-delivery/nuut-grill/SEWevzjGT8an5qGI5iBwaw,Nuut Grill,null,null,$315.00,Pizza salmon,refugio
1616632633-6178,https://www.ubereats.com/mx/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwUmVmdWdpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpnVzJ1OW5kYzA0VVJoc09pVjFaTlctSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42NTM2MDg0JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zNDY5ODI2JTdE,Domino's Fray Junípero,https://www.ubereats.com/mx/queretaro/food-delivery/dominos-fray-junipero/-VlCukUKQBi0Cz3InFOskQ,Domino's Fray Junípero,4.2,-153,$298.00,Promoción 2x298,refugio
1616632633-6198,https://www.ubereats.com/mx/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwUmVmdWdpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpnVzJ1OW5kYzA0VVJoc09pVjFaTlctSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42NTM2MDg0JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zNDY5ODI2JTdE,Domino's Fray Junípero,https://www.ubereats.com/mx/queretaro/food-delivery/dominos-fray-junipero/-VlCukUKQBi0Cz3InFOskQ,Domino's Fray Junípero,4.2,-153,$184.00,4 Quesos,refugio
1616632611-6113,https://www.ubereats.com/mx/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwUmVmdWdpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpnVzJ1OW5kYzA0VVJoc09pVjFaTlctSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42NTM2MDg0JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zNDY5ODI2JTdE,Pizza Puq,https://www.ubereats.com/mx/queretaro/food-delivery/pizza-puq/zKqP55aaQ9avKwySy07E3g,Pizza Puq,4.6,-12,$249.00,Boneless 12 piezas,refugio
1616632524-5392,https://www.ubereats.com/mx/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwUmVmdWdpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpnVzJ1OW5kYzA0VVJoc09pVjFaTlctSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42NTM2MDg0JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zNDY5ODI2JTdE,Mac't Fonda Gourmet,https://www.ubereats.com/mx/queretaro/food-delivery/mact-fonda-gourmet/ChhyKJX-TjysMOSXFj-fjg,Mac't Fonda Gourmet,null,null,$35.00,Té de hierbas relajantes,refugio
1616632611-6077,https://www.ubereats.com/mx/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwUmVmdWdpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpnVzJ1OW5kYzA0VVJoc09pVjFaTlctSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42NTM2MDg0JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zNDY5ODI2JTdE,Pizza Puq,https://www.ubereats.com/mx/queretaro/food-delivery/pizza-puq/zKqP55aaQ9avKwySy07E3g,Pizza Puq,4.6,-12,$137.00,Pizza de margarita,refugio
1616632588-5930,https://www.ubereats.com/mx/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwUmVmdWdpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpnVzJ1OW5kYzA0VVJoc09pVjFaTlctSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42NTM2MDg0JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zNDY5ODI2JTdE,Subway (Fray Junípero),https://www.ubereats.com/mx/queretaro/food-delivery/subway-fray-junipero/Kjy5GBW2SwSm-s4LGAobzg,Subway (Fray Junípero),4.7,-155,$29.00,Pepsi® Black  600 ml,refugio
1616632603-6063,https://www.ubereats.com/mx/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwUmVmdWdpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpnVzJ1OW5kYzA0VVJoc09pVjFaTlctSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42NTM2MDg0JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zNDY5ODI2JTdE,Los Hijos del Che (El Refugio),https://www.ubereats.com/mx/queretaro/food-delivery/los-hijos-del-che-el-refugio/W7M2WvPMTpG_CegEmpz5eQ,Los Hijos del Che (El Refugio),4.8,-121,$35.00,Carne sola de res,refugio
